"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","1","firefox","Functional_HTML.spec.js","","","","_07_Generate Report with Selected Content and Resources (N Checkboxes)",""
"passed","Mon Feb 05 13:21:18 IST 2024","Mon Feb 05 13:21:44 IST 2024","26019","chromium","Functional_HTML.spec.js","","","","_08_Generate Report with Selected Contents (N Checkboxes)",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","firefox","Functional_HTML.spec.js","","","","_09_Generate Report with Selected Resources (N Checkboxes)",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","webkit","Functional_HTML.spec.js","","","","_03_Three vertical dot: Creativity: Dropdown",""
"passed","Mon Feb 05 13:21:44 IST 2024","Mon Feb 05 13:22:11 IST 2024","26447","chromium","Functional_HTML.spec.js","","","","_10_Edit Report Title and Verify Reflection on Reports Page",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","webkit","Functional_HTML.spec.js","","","","_02_Three vertical dot: Resource dropdown",""
"passed","Mon Feb 05 13:20:33 IST 2024","Mon Feb 05 13:20:50 IST 2024","17282","chromium","Functional_HTML.spec.js","","","","_04_Three vertical dot: History,Report,logout",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","webkit","Functional_HTML.spec.js","","","","_11_Home Page validation: New Chat, search textfield",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","1","firefox","Functional_HTML.spec.js","","","","_11_Home Page validation: New Chat, search textfield",""
"passed","Mon Feb 05 13:21:22 IST 2024","Mon Feb 05 13:21:49 IST 2024","27136","chromium","Functional_HTML.spec.js","","","","_09_Generate Report with Selected Resources (N Checkboxes)",""
"passed","Mon Feb 05 13:20:58 IST 2024","Mon Feb 05 13:21:22 IST 2024","24561","chromium","Functional_HTML.spec.js","","","","_07_Generate Report with Selected Content and Resources (N Checkboxes)",""
"passed","Mon Feb 05 13:20:10 IST 2024","Mon Feb 05 13:20:43 IST 2024","33181","chromium","Functional_HTML.spec.js","","","","_01_Home Page validation: New Chat, search textfield",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","webkit","Functional_HTML.spec.js","","","","_08_Generate Report with Selected Contents (N Checkboxes)",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","firefox","Functional_HTML.spec.js","","","","_06_Combine the results by selecting N check boxes",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","webkit","Functional_HTML.spec.js","","","","_09_Generate Report with Selected Resources (N Checkboxes)",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","webkit","Functional_HTML.spec.js","","","","_06_Combine the results by selecting N check boxes",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","1","webkit","Functional_HTML.spec.js","","","","_04_Three vertical dot: History,Report,logout",""
"failed","Fri Feb 02 14:34:39 IST 2024","Fri Feb 02 14:34:47 IST 2024","7433","chromium","Validation_HTML.spec.js","","","","Validation: Report page title",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","1","webkit","Functional_HTML.spec.js","","","","_07_Generate Report with Selected Content and Resources (N Checkboxes)",""
"passed","Mon Feb 05 13:20:22 IST 2024","Mon Feb 05 13:20:33 IST 2024","10768","chromium","Functional_HTML.spec.js","","","","_03_Three vertical dot: Creativity: Dropdown",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","1","firefox","Functional_HTML.spec.js","","","","_02_Three vertical dot: Resource dropdown",""
"skipped","Mon Feb 05 13:18:50 IST 2024","Mon Feb 05 13:18:50 IST 2024","0","firefox","Functional_HTML.spec.js","","","","_10_Edit Report Title and Verify Reflection on Reports Page",""
"passed","Mon Feb 05 13:20:10 IST 2024","Mon Feb 05 13:20:22 IST 2024","12558","chromium","Functional_HTML.spec.js","","","","_02_Three vertical dot: Resource dropdown",""
